Current Designation,Department Affiliation,Years of Service,Specialization Areas,Academic Qualifications,Patent Count,Publication Records (Journals),Publication Records (Conferences),Research Project Involvement,Citation Metrics,Core Courses Count (CS),Electives Count (CS),Lab Courses Count (CS),Student Count per Course (CS),Interdisciplinary Courses (Non-CS),Foundation Courses (Non-CS),Student Count per Course (Non-CS),Subject Knowledge (1-10),Teaching Methodology (1-10),Communication Clarity (1-10),Student Engagement (1-10),Doubt Resolution (1-10),Semester-wise Performance Trends (1-10),Implementation of Previous Feedback (1-10),Teaching Innovation Metrics (1-10),Student Success Rates (1-10),Course Completion Effectiveness (1-10),New Designation,Future Designation
1,2,10,0,3,10,24,47,2,4987,4,2,2,72,2,5,141,8,2,2,10,4,6,8,7,3,10,0,5
2,4,6,3,0,7,19,13,8,9992,4,1,2,126,0,3,95,10,3,4,2,3,2,3,6,7,6,0,3
1,9,23,2,2,0,20,25,8,6151,2,1,1,105,0,3,145,2,2,4,5,7,1,3,7,9,5,0,4
2,1,14,5,1,8,24,14,7,9447,1,1,3,89,1,5,37,5,3,4,3,2,6,1,8,2,3,1,5
0,7,12,1,1,4,17,21,13,2578,2,2,5,27,1,2,56,10,3,10,1,3,9,1,7,2,7,1,5
2,1,9,5,0,5,15,35,11,5899,5,1,5,45,0,1,69,3,3,9,5,4,10,5,10,5,7,0,3
2,1,27,1,2,0,3,14,10,7923,3,2,5,92,1,0,114,5,7,2,4,9,5,10,6,1,3,0,1
0,9,11,1,3,6,20,21,7,3979,1,1,2,92,2,5,129,10,5,3,1,10,3,2,1,1,3,0,5
2,5,14,3,3,8,36,1,6,7889,3,0,4,103,1,1,93,10,7,9,3,8,8,1,10,6,5,0,5
2,6,9,1,1,7,14,15,14,1005,5,3,4,40,0,1,79,2,6,1,8,1,8,7,4,2,6,0,3
0,1,17,1,3,7,46,29,7,3533,4,3,5,133,0,0,77,7,8,5,6,5,7,4,2,4,2,2,0
1,0,19,2,3,0,8,36,14,4746,2,3,2,134,0,2,128,3,4,9,9,4,4,6,9,8,7,2,0
2,3,14,5,1,8,24,14,7,9447,1,1,3,89,1,5,37,5,3,4,3,2,6,1,8,2,3,1,5
0,5,30,2,1,0,26,23,18,4611,5,2,4,60,0,4,80,2,5,3,5,3,6,2,4,4,7,0,1
1,7,6,5,0,5,13,30,10,1590,4,2,2,25,3,3,94,2,10,2,7,10,3,4,1,1,2,0,3
0,1,2,0,3,8,48,15,3,701,5,2,2,58,2,3,123,1,2,8,3,9,9,9,3,5,6,0,2
1,4,20,1,0,8,16,33,13,408,1,1,4,125,3,3,72,8,10,5,10,5,4,3,8,4,5,0,4
2,6,22,1,1,5,5,10,3,553,4,0,2,147,3,4,79,3,8,4,6,1,5,4,8,1,9,0,4
0,2,15,5,1,8,5,19,13,5979,4,1,4,126,1,2,93,10,10,5,1,1,9,2,10,7,1,0,0
1,7,13,0,2,6,0,34,9,2391,5,3,3,38,3,3,95,9,9,10,2,1,4,9,6,6,4,1,5
2,1,25,5,0,5,46,29,17,3632,1,0,2,30,3,0,96,2,1,10,9,4,2,1,10,7,5,0,1
2,8,11,5,2,1,42,8,14,5612,5,1,2,75,3,1,40,4,9,3,2,2,8,5,10,3,3,1,5
2,9,7,4,0,0,14,42,20,575,1,2,2,117,3,3,48,7,9,9,1,10,9,8,2,2,10,0,3
2,3,29,2,0,1,46,44,0,4746,1,0,2,32,2,2,37,4,1,7,8,3,7,3,10,1,7,0,1
1,1,6,1,3,8,27,47,15,2067,5,3,2,39,3,3,139,8,10,4,1,9,3,2,9,7,10,0,3
2,2,21,4,3,5,36,10,1,462,5,0,4,62,1,4,64,10,1,9,3,9,4,6,3,3,1,2,4
1,3,17,2,0,0,34,41,5,8923,4,3,1,118,2,2,120,7,5,8,10,4,10,7,10,10,7,0,0
0,8,27,5,0,1,3,12,11,4302,4,1,3,50,2,1,22,8,1,6,10,6,8,2,3,1,8,0,1
0,3,20,0,2,2,23,49,15,852,2,3,4,107,2,3,75,6,1,4,7,3,6,2,7,7,1,0,4
1,4,20,1,0,8,16,33,13,408,1,1,4,125,3,3,72,8,10,5,10,5,4,3,8,4,5,0,4
0,4,13,3,3,7,3,32,7,4265,4,0,5,44,0,0,145,4,4,4,2,8,10,6,10,5,9,0,5
0,5,24,3,3,1,6,25,16,8110,5,0,2,118,3,0,28,5,3,5,9,2,5,8,10,2,8,2,4
0,5,18,1,1,3,26,9,18,6882,1,2,5,49,2,4,106,3,4,8,10,3,3,10,2,5,1,0,0
2,5,14,5,1,8,24,14,7,9447,1,1,3,89,1,5,37,5,3,4,3,2,6,1,8,2,3,1,5
1,4,8,5,0,8,27,20,12,7997,2,2,1,89,1,4,90,3,8,1,3,2,2,2,6,1,5,0,3
0,9,20,2,2,2,47,24,10,6413,2,2,4,34,1,4,81,9,7,2,1,10,6,2,4,10,7,0,4
0,0,26,3,3,6,35,8,3,5451,3,3,4,73,3,0,100,2,7,5,4,1,5,3,5,6,2,2,1
2,4,9,2,1,5,49,46,19,8726,4,1,4,83,1,1,60,10,3,10,6,8,9,6,7,8,6,0,3
0,2,27,5,2,0,38,37,6,524,2,3,3,115,0,0,128,4,1,8,8,7,7,10,4,9,8,0,1
0,0,29,0,3,10,23,17,12,1978,1,3,1,52,1,2,115,2,3,8,7,2,8,2,2,6,6,2,1
2,5,30,4,2,9,50,46,3,8501,1,2,3,101,3,2,57,6,7,6,8,2,6,4,5,10,5,0,1
1,5,29,3,3,10,40,14,7,3364,4,1,3,111,2,1,26,6,2,5,7,3,7,3,10,6,7,2,1
0,3,25,5,1,1,47,3,8,8197,2,3,1,74,3,5,115,1,9,3,6,8,2,3,1,3,4,0,1
0,0,12,3,3,2,5,32,5,1023,4,2,5,137,0,2,33,6,6,1,3,1,5,10,8,2,10,0,5
1,5,22,4,0,5,24,31,1,3429,5,2,4,119,2,0,73,9,10,1,4,4,9,3,3,8,10,0,4
2,3,20,3,2,4,16,10,11,4672,3,1,2,39,3,5,113,10,10,2,4,5,1,2,5,7,7,0,4
1,7,29,3,2,1,31,34,12,7044,2,1,2,23,3,2,25,4,5,10,7,9,5,7,3,10,4,0,1
0,2,27,4,0,3,6,36,13,4960,4,3,1,86,0,4,96,2,4,8,4,5,2,3,5,10,2,0,1
0,1,7,1,1,7,22,11,19,5383,1,2,1,53,1,3,100,9,1,8,5,8,7,8,8,4,10,0,3
1,6,30,1,2,9,9,30,4,3014,2,2,3,98,0,3,54,10,3,6,4,8,1,6,3,5,4,0,1
2,2,22,3,0,9,19,46,12,3045,4,3,1,103,3,5,69,8,3,6,2,7,1,10,8,3,1,0,4
0,3,12,0,3,10,24,50,8,846,3,3,1,148,1,3,62,1,7,4,7,10,5,1,8,2,1,0,5
1,0,16,1,0,6,34,19,7,2093,3,0,1,57,3,2,25,5,9,2,1,1,6,8,8,2,4,0,0
2,0,9,2,1,5,49,46,19,8726,4,1,4,83,1,1,60,10,3,10,6,8,9,6,7,8,6,0,3
2,2,7,1,0,8,38,28,4,2567,1,2,2,41,1,4,95,3,10,6,4,4,2,7,2,4,10,0,3
0,6,28,3,3,3,32,15,18,1929,2,0,3,144,2,3,141,6,7,10,5,5,2,2,7,2,5,2,1
0,7,6,3,0,4,38,1,19,2764,4,3,2,63,1,3,88,9,10,6,1,7,9,7,5,4,10,0,3
2,7,7,5,1,3,14,24,5,8798,3,1,4,114,2,2,131,7,10,9,3,2,5,8,9,9,4,0,3
1,0,3,0,2,7,3,0,1,6860,5,2,2,55,1,4,57,1,8,8,10,9,6,8,1,10,9,0,2
0,9,18,2,2,2,17,36,17,333,5,0,4,49,2,2,29,10,2,4,4,6,3,4,3,1,2,0,0
0,5,23,1,0,7,8,13,2,6011,2,2,1,80,0,2,56,8,8,3,1,5,6,4,5,9,5,0,4
0,0,24,4,1,3,43,39,0,7431,3,1,5,117,2,3,118,5,5,4,7,9,5,2,3,9,3,0,4
1,0,18,1,3,9,8,31,19,6647,2,2,5,89,1,3,67,1,2,8,2,4,3,7,6,7,7,2,0
0,5,12,4,3,5,27,38,17,5976,4,0,4,126,1,0,23,10,2,9,2,10,1,7,1,3,2,0,5
1,5,29,1,0,2,25,23,2,509,3,0,1,125,0,1,147,3,4,8,5,8,9,10,8,5,6,0,1
1,3,23,5,2,10,34,4,12,293,5,3,2,75,0,2,33,7,10,1,3,8,3,8,9,7,2,0,4
1,0,4,2,0,9,14,43,7,183,1,3,1,129,1,1,82,4,3,10,3,3,2,5,4,1,7,0,2
2,0,5,4,0,8,37,10,16,4309,1,1,2,28,1,2,79,2,3,8,10,3,2,3,6,10,10,0,3
0,4,20,1,2,7,49,16,10,8403,2,3,4,146,0,0,141,1,4,2,6,1,7,10,8,9,9,0,4
0,7,27,5,2,0,38,37,6,524,2,3,3,115,0,0,128,4,1,8,8,7,7,10,4,9,8,0,1
0,3,8,1,0,9,8,35,5,9751,3,1,5,36,2,4,39,1,8,5,2,5,2,8,7,9,4,0,3
2,0,7,1,1,6,42,47,3,8955,2,1,5,30,3,1,123,7,1,6,8,5,1,10,4,8,10,0,3
1,6,8,5,0,8,27,20,12,7997,2,2,1,89,1,4,90,3,8,1,3,2,2,2,6,1,5,0,3
0,6,2,0,3,8,48,15,3,701,5,2,2,58,2,3,123,1,2,8,3,9,9,9,3,5,6,0,2
2,8,30,0,0,4,39,33,7,9686,2,3,2,88,2,0,42,10,5,8,4,4,3,8,10,2,1,0,1
1,3,6,4,1,7,0,39,1,4704,4,3,4,145,0,5,141,8,10,1,5,5,4,2,6,10,3,0,3
1,1,30,4,0,3,43,14,17,7548,1,3,3,41,3,3,83,5,4,1,8,2,5,5,8,3,3,0,1
2,0,10,2,1,2,5,26,9,8358,3,2,4,92,3,1,99,10,1,1,7,4,5,5,6,5,8,1,5
1,4,13,1,0,5,21,15,15,7961,2,2,3,98,1,5,148,8,8,10,5,9,8,5,10,6,8,0,5
1,3,30,1,2,9,9,30,4,3014,2,2,3,98,0,3,54,10,3,6,4,8,1,6,3,5,4,0,1
0,9,3,4,0,0,22,48,5,1209,5,0,3,126,0,1,47,9,1,10,7,7,4,10,1,4,6,0,2
1,9,20,1,3,4,45,36,11,150,4,2,2,62,2,4,30,4,7,1,10,4,6,3,8,8,9,2,4
0,4,9,1,0,9,28,37,7,7665,5,0,2,29,2,5,107,5,6,1,6,3,3,6,4,1,10,0,3
1,1,30,2,3,6,8,36,5,4341,1,0,5,131,0,0,51,10,1,10,8,4,10,3,5,10,7,2,1
2,4,26,1,3,9,33,37,7,9151,2,1,3,106,2,0,45,8,4,8,2,6,1,4,10,8,3,2,1
1,2,26,3,3,8,44,46,10,3264,2,3,2,107,2,2,89,9,6,2,9,1,4,9,2,2,9,2,1
1,6,5,3,0,2,13,41,8,5533,4,1,1,80,3,3,144,7,9,4,5,3,2,9,5,7,9,0,3
0,2,8,4,3,9,16,6,10,7603,5,2,4,130,1,4,22,3,10,4,7,6,6,8,10,9,1,0,3
0,1,28,0,2,8,41,28,11,5129,2,1,5,98,0,2,121,6,5,5,8,5,5,3,1,10,5,0,1
1,9,25,2,2,4,44,23,11,5637,4,0,2,83,0,0,147,5,5,5,7,9,2,9,6,10,9,0,1
0,5,2,2,3,0,23,50,8,6224,3,1,4,75,1,4,131,1,9,2,3,2,7,4,7,7,5,0,2
0,6,11,4,0,6,21,6,10,5073,5,3,2,126,0,4,54,5,2,1,1,8,8,6,4,8,9,0,5
1,0,16,3,2,4,45,1,5,1445,1,0,3,25,2,2,61,8,6,10,5,3,2,10,10,2,2,0,0
1,7,18,1,1,9,14,31,15,2011,3,1,4,128,0,1,91,2,3,9,6,10,4,5,2,3,9,0,0
0,0,21,3,1,4,10,48,8,1974,1,1,1,84,1,2,27,1,10,9,9,10,9,1,7,8,8,0,4
2,0,29,4,2,2,26,38,13,8485,4,2,3,40,2,2,27,6,6,8,6,1,7,2,3,8,9,0,1
0,1,30,5,2,6,44,48,15,9172,2,2,2,110,1,1,68,7,6,4,7,2,8,9,5,6,8,0,1
2,2,16,2,1,1,4,12,14,4851,4,1,1,74,0,5,112,2,4,5,8,9,6,3,3,3,5,0,0
0,5,8,3,2,9,17,31,15,7518,1,1,5,26,0,1,51,6,4,1,7,4,4,3,1,8,1,0,3
1,4,27,5,1,0,9,38,7,2709,4,1,4,26,1,5,143,6,3,7,4,9,2,4,9,5,9,0,1
2,8,25,5,0,5,46,29,17,3632,1,0,2,30,3,0,96,2,1,10,9,4,2,1,10,7,5,0,1
2,5,20,3,2,4,48,50,6,8500,1,0,3,76,2,2,134,2,1,10,8,10,1,10,9,5,3,0,4
0,6,16,1,3,4,32,42,2,96,2,1,5,92,1,0,35,10,9,1,9,10,8,9,3,9,3,2,0
2,8,12,1,0,2,50,5,7,5833,1,1,4,83,0,5,133,6,6,10,7,9,6,2,1,9,3,0,5
1,2,7,5,3,7,38,19,9,201,5,0,2,95,0,3,21,10,2,10,1,5,5,3,1,4,4,0,3
0,5,24,0,3,2,45,0,20,962,5,1,4,51,2,4,49,6,2,9,6,2,7,7,7,4,4,2,4
0,4,6,4,3,5,11,11,20,7806,2,0,4,131,3,5,88,3,5,3,9,2,6,1,4,5,5,0,3
2,4,5,3,3,1,44,44,1,5446,5,3,1,124,3,0,49,10,5,6,3,4,7,4,4,1,3,0,3
0,4,28,5,2,9,48,50,7,8100,1,0,4,100,3,3,118,9,5,3,8,3,1,5,3,1,1,0,1
1,4,30,2,3,6,8,36,5,4341,1,0,5,131,0,0,51,10,1,10,8,4,10,3,5,10,7,2,1
2,6,20,3,2,4,48,50,6,8500,1,0,3,76,2,2,134,2,1,10,8,10,1,10,9,5,3,0,4
0,6,16,5,2,9,40,44,11,8740,3,2,4,89,2,5,73,7,2,5,8,7,10,10,10,5,10,0,0
2,8,24,5,0,5,0,44,7,8459,2,2,4,117,2,1,135,10,6,7,9,10,9,8,5,4,3,0,4
0,2,16,2,0,2,38,6,10,6903,3,0,2,69,1,2,81,9,2,6,10,6,8,5,10,8,2,0,0
0,0,2,0,0,3,11,19,6,8762,5,3,5,48,0,4,105,7,4,1,10,3,2,5,9,3,2,0,2
1,2,10,1,1,1,50,10,20,8845,1,3,4,68,0,1,131,10,3,2,10,10,9,1,4,4,4,1,5
2,0,28,2,2,2,46,8,2,4149,3,3,4,108,1,0,95,7,5,4,4,3,6,3,5,5,7,0,1
0,9,28,1,0,2,39,20,0,114,1,2,1,145,3,1,82,2,3,9,2,10,3,9,10,5,5,0,1
1,0,1,0,0,0,5,9,11,4414,2,2,1,120,1,1,59,9,4,5,4,9,9,7,5,9,9,0,2
1,9,5,4,2,1,44,2,20,6042,3,1,5,95,3,2,110,8,9,7,9,5,10,8,5,1,4,0,3
1,9,3,5,2,5,8,44,17,8456,3,2,2,34,0,0,145,1,6,9,6,7,10,10,1,9,3,0,2
1,7,25,1,3,10,50,12,6,8366,5,1,2,136,3,4,41,3,8,6,4,10,9,2,1,10,8,2,1
0,0,6,1,0,5,7,16,20,6921,2,0,3,87,2,0,23,4,7,10,10,9,9,7,10,3,2,0,3
1,5,20,2,1,4,7,3,14,5190,4,3,4,86,2,1,97,7,7,10,2,5,4,2,3,2,4,0,4
0,5,12,3,3,2,5,32,5,1023,4,2,5,137,0,2,33,6,6,1,3,1,5,10,8,2,10,0,5
1,3,20,0,1,7,43,13,12,3253,1,2,1,86,3,1,68,7,6,10,2,1,10,1,5,5,1,0,4
0,5,15,5,2,9,17,10,1,387,1,3,1,65,0,5,42,1,7,3,9,2,9,6,7,5,9,0,0
2,7,2,4,3,2,1,11,7,8595,2,2,1,25,1,1,124,9,4,7,7,4,8,1,7,1,5,0,2
1,5,22,4,0,5,24,31,1,3429,5,2,4,119,2,0,73,9,10,1,4,4,9,3,3,8,10,0,4
2,0,30,0,0,4,39,33,7,9686,2,3,2,88,2,0,42,10,5,8,4,4,3,8,10,2,1,0,1
0,0,10,0,0,0,17,43,12,1648,4,2,5,38,3,4,136,2,2,10,2,10,3,8,4,3,4,0,5
2,6,11,5,2,1,42,8,14,5612,5,1,2,75,3,1,40,4,9,3,2,2,8,5,10,3,3,1,5
0,5,22,5,0,0,18,7,2,4739,3,3,3,136,3,4,110,8,7,5,6,10,7,9,10,10,1,0,4
1,9,5,5,1,5,8,39,6,9173,5,0,2,46,1,1,92,7,10,7,3,1,2,1,7,3,4,0,3
0,8,11,4,0,6,21,6,10,5073,5,3,2,126,0,4,54,5,2,1,1,8,8,6,4,8,9,0,5
1,6,27,4,0,3,44,13,8,4078,5,3,3,73,0,1,20,6,5,8,8,9,9,7,7,9,2,0,1
2,7,19,3,2,3,50,11,13,3523,5,1,5,61,3,2,79,6,3,5,9,9,3,5,4,10,10,0,0
0,7,20,1,1,9,24,13,17,466,2,3,5,46,2,1,100,3,1,10,8,6,2,1,9,5,5,0,4
2,3,15,4,1,3,0,24,8,2363,5,3,4,143,3,4,118,7,7,7,10,1,10,7,9,4,4,0,0
2,9,24,5,0,5,0,44,7,8459,2,2,4,117,2,1,135,10,6,7,9,10,9,8,5,4,3,0,4
1,1,11,4,3,7,31,44,15,1967,2,0,4,126,3,0,91,9,4,7,7,9,5,8,7,10,3,0,5
1,8,25,2,2,5,6,45,13,8593,1,3,4,134,0,3,21,3,1,10,4,7,7,9,4,8,1,0,1
1,1,29,3,3,10,40,14,7,3364,4,1,3,111,2,1,26,6,2,5,7,3,7,3,10,6,7,2,1
1,0,22,4,0,6,34,33,13,2867,5,0,2,25,0,1,21,7,1,1,7,4,4,1,2,5,10,0,4
1,5,18,5,2,8,44,34,2,7070,2,1,1,75,1,0,134,2,3,4,1,4,8,5,6,2,10,0,0
2,1,1,0,1,10,43,28,20,4866,1,1,1,123,0,4,68,2,7,2,7,3,10,3,6,10,10,0,2
1,4,15,1,1,10,26,3,20,1062,3,1,4,81,2,2,127,4,10,3,10,2,1,2,6,8,5,0,0
0,1,21,1,2,10,48,4,0,5583,4,0,3,96,2,4,112,6,10,4,5,4,6,9,3,4,9,0,4
1,2,9,2,2,3,22,20,1,243,1,3,5,27,2,5,121,3,2,2,1,10,8,2,6,10,8,0,3
1,0,17,3,0,4,9,22,20,6599,1,1,2,22,3,0,21,7,7,6,2,5,7,7,6,5,1,0,0
1,5,21,0,0,6,24,39,4,5837,4,1,3,25,1,0,116,7,2,5,1,2,5,8,8,3,9,0,4
2,0,10,2,0,6,50,32,3,4394,3,0,2,112,0,3,101,6,9,2,8,7,6,1,9,3,5,0,5
0,6,7,5,3,8,8,28,4,9888,3,2,1,128,0,1,89,8,2,3,9,2,9,3,1,8,6,0,3
2,1,22,2,3,5,14,45,16,4076,1,0,5,62,3,4,89,10,3,3,7,6,5,7,2,7,4,2,4
0,9,19,2,1,2,29,8,10,6915,2,1,3,26,2,1,25,10,10,3,2,7,8,10,4,9,5,0,0
1,9,23,4,1,10,6,33,7,563,5,2,1,71,0,5,70,2,5,7,7,8,7,10,9,9,10,0,4
1,9,22,0,2,3,37,29,10,5973,4,1,2,65,2,4,124,10,8,7,8,3,7,2,5,5,1,0,4
0,9,25,5,0,1,1,45,3,8075,2,0,3,73,2,3,134,3,5,9,9,3,4,3,8,1,7,0,1
2,3,22,3,2,7,39,39,13,1318,2,2,3,63,1,3,106,3,5,4,3,10,8,4,5,4,10,0,4
1,6,12,4,0,8,2,44,16,701,3,0,1,57,0,0,101,9,5,6,7,8,10,5,4,4,2,0,5
0,2,20,1,1,9,24,13,17,466,2,3,5,46,2,1,100,3,1,10,8,6,2,1,9,5,5,0,4
1,1,30,2,2,10,44,2,9,8661,5,1,3,37,0,5,116,2,2,10,2,1,1,4,10,2,3,0,1
2,7,26,3,2,9,13,49,8,5136,5,0,5,54,3,4,65,9,8,6,2,7,5,3,8,10,10,0,1
0,8,25,5,0,1,1,45,3,8075,2,0,3,73,2,3,134,3,5,9,9,3,4,3,8,1,7,0,1
0,6,11,1,3,6,20,21,7,3979,1,1,2,92,2,5,129,10,5,3,1,10,3,2,1,1,3,0,5
1,1,6,2,1,9,3,2,13,7469,5,3,1,143,3,0,30,2,1,2,7,7,7,3,9,5,8,0,3
2,0,19,3,2,3,50,11,13,3523,5,1,5,61,3,2,79,6,3,5,9,9,3,5,4,10,10,0,0
1,9,21,3,0,2,38,3,19,5651,4,3,2,147,0,1,77,1,10,1,8,4,1,2,6,9,2,0,4
1,9,16,1,0,6,34,19,7,2093,3,0,1,57,3,2,25,5,9,2,1,1,6,8,8,2,4,0,0
2,9,30,3,3,3,46,12,3,1856,5,2,3,107,0,1,81,3,3,6,5,7,5,3,1,6,9,2,1
2,7,6,3,0,7,19,13,8,9992,4,1,2,126,0,3,95,10,3,4,2,3,2,3,6,7,6,0,3
2,6,7,5,0,7,6,18,15,7984,4,0,2,139,1,1,81,3,10,1,3,7,6,6,6,6,6,0,3
2,0,20,2,1,6,35,24,3,3467,1,3,5,49,0,5,52,5,5,4,10,1,2,9,6,3,4,0,4
2,0,12,2,0,2,1,17,10,6841,4,2,1,103,2,3,86,8,5,9,5,2,3,4,10,7,7,0,5
1,4,13,0,0,7,27,31,9,6161,3,2,2,129,0,0,111,8,10,3,5,7,6,4,8,3,4,0,5
2,1,21,0,2,1,41,27,0,108,5,0,2,132,2,2,64,1,9,3,1,4,4,10,1,5,2,0,4
1,8,1,2,2,2,28,4,17,2309,5,1,2,80,0,5,119,2,6,5,5,9,8,5,5,8,6,0,2
1,6,22,0,2,3,37,29,10,5973,4,1,2,65,2,4,124,10,8,7,8,3,7,2,5,5,1,0,4
1,0,10,5,0,8,15,34,3,8688,5,2,1,78,0,0,72,8,10,1,2,10,3,4,4,1,2,0,5
1,7,23,0,0,0,49,47,20,8596,5,0,1,60,1,0,115,6,3,2,4,5,1,1,1,9,10,0,4
2,5,8,4,1,9,28,0,5,3020,5,2,5,95,0,2,42,10,9,4,4,6,8,3,3,10,9,0,3
2,9,6,0,1,0,19,12,15,1260,1,0,2,76,3,0,69,4,2,4,5,3,6,7,9,10,7,0,3
2,5,25,0,0,0,49,41,8,1313,3,0,4,45,2,3,139,1,7,10,1,5,1,5,8,7,5,0,1
0,2,24,1,0,2,26,7,10,9546,5,0,1,24,1,1,98,7,9,2,7,2,10,8,4,8,10,0,4
2,8,14,1,1,10,1,12,19,7934,2,0,2,95,0,5,38,5,5,4,2,8,5,4,3,8,3,1,5
2,9,15,3,3,8,3,30,0,3260,4,1,1,30,3,4,79,2,4,3,1,3,6,2,4,5,1,2,0
2,7,30,0,0,4,39,33,7,9686,2,3,2,88,2,0,42,10,5,8,4,4,3,8,10,2,1,0,1
1,0,4,4,2,9,22,35,20,9589,3,3,3,58,2,3,55,1,9,7,7,8,7,4,4,1,6,0,2
2,4,2,4,3,2,1,11,7,8595,2,2,1,25,1,1,124,9,4,7,7,4,8,1,7,1,5,0,2
0,1,5,1,3,10,41,29,4,7478,4,0,3,133,0,0,101,4,6,9,10,2,5,6,3,5,5,0,3
2,0,22,3,2,7,39,39,13,1318,2,2,3,63,1,3,106,3,5,4,3,10,8,4,5,4,10,0,4
0,6,13,3,3,7,3,32,7,4265,4,0,5,44,0,0,145,4,4,4,2,8,10,6,10,5,9,0,5
0,1,13,3,3,7,3,32,7,4265,4,0,5,44,0,0,145,4,4,4,2,8,10,6,10,5,9,0,5
1,7,3,5,2,5,8,44,17,8456,3,2,2,34,0,0,145,1,6,9,6,7,10,10,1,9,3,0,2
0,9,20,3,0,4,44,47,12,4225,3,1,5,53,0,3,142,8,4,6,2,2,7,1,10,4,10,0,4
1,2,7,3,2,6,46,39,10,5470,5,0,1,32,1,1,61,8,6,10,8,5,4,1,8,6,3,0,3
2,9,17,3,1,7,29,8,17,4624,4,0,5,89,3,1,115,2,2,6,1,10,10,10,7,2,2,0,0
1,5,3,4,2,5,22,38,17,7827,2,0,5,92,0,4,24,5,1,6,6,8,1,1,1,10,10,0,2
1,2,23,0,0,0,49,47,20,8596,5,0,1,60,1,0,115,6,3,2,4,5,1,1,1,9,10,0,4
1,6,25,5,0,9,48,6,18,6261,4,1,4,31,1,4,139,3,2,7,9,2,6,3,10,9,10,0,1
1,6,17,4,1,4,34,6,2,5119,5,0,5,31,2,2,65,5,6,9,5,3,1,9,1,7,3,0,0
0,5,18,1,1,3,26,9,18,6882,1,2,5,49,2,4,106,3,4,8,10,3,3,10,2,5,1,0,0
1,3,3,1,2,8,4,30,5,4487,4,0,1,83,0,3,89,10,7,2,10,7,5,6,3,3,4,0,2
0,8,30,0,1,6,22,41,10,5956,2,0,2,111,2,1,43,6,2,2,8,9,3,3,2,7,10,0,1
2,2,20,0,2,9,42,20,2,60,2,2,4,106,3,1,78,1,10,2,8,4,8,1,9,1,7,0,4
1,7,8,4,0,4,38,18,2,6276,5,3,5,79,0,5,53,6,8,1,7,6,3,7,10,6,10,0,3
2,1,22,3,2,7,39,39,13,1318,2,2,3,63,1,3,106,3,5,4,3,10,8,4,5,4,10,0,4
0,2,28,0,2,8,41,28,11,5129,2,1,5,98,0,2,121,6,5,5,8,5,5,3,1,10,5,0,1
0,0,18,2,2,2,17,36,17,333,5,0,4,49,2,2,29,10,2,4,4,6,3,4,3,1,2,0,0
1,2,25,5,0,9,48,6,18,6261,4,1,4,31,1,4,139,3,2,7,9,2,6,3,10,9,10,0,1
0,3,29,5,0,7,18,27,13,8871,3,0,4,34,1,0,100,4,9,1,3,9,8,5,8,8,1,0,1
1,9,3,1,2,8,4,30,5,4487,4,0,1,83,0,3,89,10,7,2,10,7,5,6,3,3,4,0,2
0,5,21,1,2,9,46,19,12,3975,2,2,3,65,3,1,146,6,10,9,2,8,8,5,10,9,1,0,4
1,9,13,0,2,6,0,34,9,2391,5,3,3,38,3,3,95,9,9,10,2,1,4,9,6,6,4,1,5
